Q&A,categories
BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_3순위 14) 보관방법,
BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_3순위 15) 알코올 도수,
BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_3순위 51) 맛,
BC2. 가공식품 품목별 구입 시 우선 확인하는 사항(김치 및 절임류)_3순위 95) 구입하지 않음,
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위  1) 가격,['price_sensitivity']
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위  2) 용량,
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위  3) 브랜드/상표/제조사,"['premium_orientation', 'brand_loyalty']"
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위  4) 제조일자/유통기한,
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위  5) 품질인증 표시,['premium_orientation']
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위  6) 원산지,
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위  7) 영양성분,['health_orientation']
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위  8) 식품첨가물,
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위  9) 원재료/성분 함량,['health_orientation']
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위 10) 포장 디자인,['premium_orientation']
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위 11) 포장 재활용 여부,
BC3. 가공식품 품목별 구입 시 우선 확인하는 사항(과일채소가공품)_1순위 12) 기능성 표시/식품의 효능,['health_orientation']
