id,SQ3,HQ2,SQ4,SQ5,SQ8,DQ1,DQ3,DQ3_1,DQ4,'brand_loyalty','cooking_convenience','health_orientation','hmr_preference','premium_orientation','price_sensitivity','variety_seeking'
1H002106,여자,60대 이상,주부,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 하지 않음,800-900만원 미만,0.1383872322553549,0.20767956339538057,0.04439998596047875,0.15058661145617666,0.054709607869559355,0.14081790123456792,0.21324803411968546
4I210032,남자,40대,기능원 및 관련 기능 종사자,대학교 졸업(전문대졸/대학원생 포함),경상북도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,200-300만원 미만,0.14888702225955483,0.09677419354838711,0.03695903969674634,0.10807453416149068,0.04911736962673494,0.12403549382716049,0.3292016526722644
4C063028,여자,40대,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),인천광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.10667786644267115,0.1316635805477049,0.0882383910708645,0.13402346445824706,0.062255760679153754,0.11024305555555555,0.33719845395175263
4C063032,여자,60대 이상,판매 종사자,고졸(대학 재학 포함),인천광역시,1세대가족,기혼,맞벌이 함,300-400만원 미만,0.10856782864342714,0.143358347139655,0.08957214558983538,0.13954451345755692,0.05154291874410457,0.10349151234567902,0.30121284819405575
1H002110,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 함,700-800만원 미만,0.13292734145317092,0.2157684436214794,0.06714401038924574,0.1533471359558316,0.05686565152944347,0.15817901234567902,0.25056644009063045
1O000137,여자,60대 이상,주부,대학교 졸업(전문대졸/대학원생 포함),강원도,1세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.1383872322553549,0.11899425007309229,0.13871046997297393,0.13954451345755692,0.10052553564209674,0.10416666666666667,0.12568306010928962
4H122012,여자,60대 이상,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.13775724485510288,0.11655784036643603,0.12102067319504406,0.11953071083505866,0.12592642501010645,0.1609760802469136,0.1052912168465947
1A000679,여자,40대,주부,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 하지 않음,600-700만원 미만,0.09575808483830324,0.1904297826722542,0.08936155277105051,0.14230503795721186,0.04756771324619323,0.17515432098765432,0.21098227375716383
1O000160,여자,60대 이상,주부,대학교 졸업(전문대졸/대학원생 포함),강원도,2세대가족,기혼,맞벌이 하지 않음,700-800만원 미만,0.14489710205795883,0.1092486112464672,0.137376715454003,0.13126293995859212,0.12505053227327853,0.08777006172839506,0.10928961748633881
1O000162,여자,60대 이상,주부,대학교 졸업(전문대졸/대학원생 포함),강원도,1세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.13166736665266696,0.10242666406782965,0.11421150538766628,0.13126293995859212,0.09412478102681578,0.08680555555555555,0.10795681727309077
1O000169,여자,30대,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),강원도,1세대가족,기혼,맞벌이 함,600-700만원 미만,0.14258714825703486,0.1072994834811422,0.13112912849671826,0.1285024154589372,0.10308583748820914,0.09548611111111112,0.11195521791283487
3P240048,여자,40대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),제주특별자치도,2세대가족,기혼,맞벌이 함,400-500만원 미만,0.22679546409071819,0.1306890166650424,0.10217261591379735,0.13954451345755692,0.14539819431343484,0.12528935185185186,0.22524323603891777
1O000170,여자,50대,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),강원도,2세대가족,기혼,맞벌이 함,700-800만원 미만,0.12137757244855103,0.10047753630250464,0.11965181987294232,0.1285024154589372,0.11339442123703006,0.0935570987654321,0.10795681727309077
1O000174,여자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),강원도,2세대가족,기혼,맞벌이 함,700-800만원 미만,0.11423771524569508,0.1092486112464672,0.12719806254606716,0.1285024154589372,0.10456811750437946,0.10416666666666667,0.11195521791283487
4A025008,여자,50대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,"900-1,000만원 미만",0.1854262914741705,0.24422570899522467,0.08416692990769016,0.1554175293305728,0.08448996092170867,0.14641203703703706,0.22391043582566975
1A000687,여자,50대,서비스 종사자,고졸(대학 재학 포함),서울특별시,1세대가족,기혼,맞벌이 함,400-500만원 미만,0.10289794204115918,0.18234090244615536,0.09610052297216666,0.1450655624568668,0.07923460450074113,0.15104166666666666,0.19992003198720512
4A025012,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.21146577068458633,0.24666211870188093,0.07082938471798113,0.15610766045548655,0.09028432825764722,0.13879243827160495,0.20125283220045317
4H122018,여자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,1세대가족,기혼,맞벌이 함,700-800만원 미만,0.2133557328853423,0.1071045707046097,0.11049103225580008,0.11677018633540372,0.15732381080716884,0.10204475308641975,0.11861921897907504
4C069012,여자,60대 이상,주부,고졸(대학 재학 포함),인천광역시,1세대가족,기혼,맞벌이 하지 않음,500-600만원 미만,0.18017639647207057,0.11217230289445473,0.14271173352988664,0.13126293995859212,0.1204689394960248,0.09837962962962964,0.13194722111155538
4A025016,여자,50대,서비스 종사자,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 함,"900-1,000만원 미만",0.1734565308693826,0.24130201734723714,0.05661436945000176,0.15817805383022773,0.07067780622557607,0.18942901234567902,0.23057443689190993
4H122024,여자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.2246955060898782,0.11801968619042978,0.09030922045558247,0.1285024154589372,0.13852580514755422,0.09018132716049383,0.10262561642009864
4C069018,여자,60대 이상,주부,대학교 졸업(전문대졸/대학원생 포함),인천광역시,1세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.1364972700545989,0.10242666406782965,0.12000280790425046,0.1285024154589372,0.06488343888963752,0.09066358024691358,0.12261761961881915
3J237004,남자,60대 이상,농림어업 숙련 종사자,중졸 이하,경상남도,1세대가족,기혼,맞벌이 하지 않음,100만원 미만,0.13271734565308696,0.13536692330182246,0.053701168790144256,0.11953071083505866,0.09277725373938821,0.15885416666666666,0.1599360255897641
4A025024,여자,30대,서비스 종사자,고졸(대학 재학 포함),서울특별시,1세대가족,기혼,맞벌이 함,800-900만원 미만,0.20579588408231836,0.24178929928856838,0.06275665999789408,0.15886818495514146,0.0881282845977631,0.17197145061728397,0.21857923497267762
4H122030,여자,50대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.1774464510709786,0.12289250560374233,0.1200730055105121,0.1285024154589372,0.14593720522840586,0.12770061728395063,0.10795681727309077
1H002136,여자,50대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 함,700-800만원 미만,0.11339773204535909,0.18039177468083034,0.04022322838791197,0.136783988957902,0.048039347796792885,0.14901620370370372,0.23057443689190993
1H002142,여자,50대,주부,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 하지 않음,800-900만원 미만,0.06299874002519949,0.1979339245687555,0.06384472289494929,0.136783988957902,0.038808785877914025,0.18036265432098766,0.23324003731840598
4C069030,여자,60대 이상,주부,고졸(대학 재학 포함),인천광역시,1세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.15959680806383872,0.113439235941916,0.12102067319504406,0.1285024154589372,0.1313839105241881,0.09741512345679013,0.14167666266826603
4H122036,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.2118857622847543,0.11217230289445473,0.12930399073391596,0.12574189095928226,0.13502223420024256,0.12210648148148148,0.11328801812608291
1A000696,여자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.1541369172616548,0.1862391579768054,0.09954020567898636,0.14782608695652172,0.08691551003907828,0.177758487654321,0.22391043582566975
4H140064,여자,40대,주부,대학교 졸업(전문대졸/대학원생 포함),경기도,2세대가족,기혼,맞벌이 하지 않음,500-600만원 미만,0.11339773204535909,0.20066270344021053,0.044680776385525256,0.14989648033126293,0.05289044603153214,0.15335648148148148,0.2452352392376383
4H122048,여자,60대 이상,주부,고졸(대학 재학 포함),경기도,1세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.17408651826963462,0.11022317512912971,0.1301463620090555,0.12574189095928226,0.13030588869424606,0.1820987654320988,0.11861921897907504
3J237012,여자,60대 이상,주부,중졸 이하,경상남도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,100만원 미만,0.14699706005879884,0.15485820095507263,0.07486574707802465,0.12229123533471359,0.08442258455733728,0.18393132716049382,0.19592163134746102
4C066004,여자,40대,주부,대학교 졸업(전문대졸/대학원생 포함),인천광역시,2세대가족,기혼,맞벌이 하지 않음,500-600만원 미만,0.09869802603947922,0.20865412727804308,0.04661121055771999,0.13954451345755692,0.04500741140008085,0.15335648148148148,0.21591363454618154
4C069036,여자,50대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),인천광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.15350692986140277,0.1072994834811422,0.1288477062932154,0.13126293995859212,0.0903517046220186,0.09162808641975309,0.11462081833933094
4H122054,여자,60대 이상,주부,고졸(대학 재학 포함),경기도,1세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.1415371692566149,0.11899425007309229,0.11989751149485804,0.12298136645962732,0.10032340654898261,0.1826774691358025,0.11462081833933094
4C066008,여자,40대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),인천광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.11822763544729105,0.196959360686093,0.07233863325260609,0.14782608695652172,0.049589004177334584,0.16087962962962965,0.27055844328935097
4C066012,여자,50대,주부,대학교 졸업(전문대졸/대학원생 포함),인천광역시,2세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.11339773204535909,0.20017542149887926,0.04847144712365308,0.13402346445824706,0.04514216412882361,0.1232638888888889,0.21498067439690793
4C069048,여자,60대 이상,판매 종사자,고졸(대학 재학 포함),인천광역시,1세대가족,기혼,맞벌이 함,600-700만원 미만,0.15203695926081479,0.11314686677711724,0.1269172721210207,0.13126293995859212,0.10200781565826708,0.10030864197530864,0.10928961748633881
4C066016,여자,50대,주부,대학교 졸업(전문대졸/대학원생 포함),인천광역시,2세대가족,기혼,맞벌이 하지 않음,700-800만원 미만,0.11969760604787905,0.14433291102231752,0.06753009722368468,0.13402346445824706,0.05794367335938552,0.1326195987654321,0.23990403838464616
4C066020,여자,30대,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),인천광역시,1세대가족,기혼,맞벌이 함,600-700만원 미만,0.14279714405711885,0.20475587174739304,0.06012424976308309,0.136783988957902,0.05140816601536181,0.14592978395061731,0.22924163667866188
3J237028,남자,60대 이상,판매 종사자,중졸 이하,경상남도,1세대가족,기혼,맞벌이 하지 않음,200-300만원 미만,0.12095758084838304,0.17405710944352404,0.07374258537783862,0.13333333333333333,0.07384449535103085,0.13802083333333334,0.21191523390643743
4H122066,여자,30대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),경기도,1세대가족,기혼,맞벌이 함,600-700만원 미만,0.13019739605207897,0.10876132930513596,0.1086658944929978,0.12505175983436853,0.1489691416251179,0.15065586419753085,0.10395841663334666
4C066024,여자,40대,사무 종사자,고졸(대학 재학 포함),인천광역시,2세대가족,기혼,맞벌이 함,600-700만원 미만,0.10247795044099117,0.1797095799629666,0.036853743287353906,0.13402346445824706,0.03557472038808786,0.16811342592592596,0.2385712381713981
4C066028,여자,60대 이상,서비스 종사자,고졸(대학 재학 포함),인천광역시,1세대가족,기혼,맞벌이 함,500-600만원 미만,0.06614867702645948,0.16119286619237894,0.043382120669685165,0.13402346445824706,0.0272874275704083,0.15248842592592593,0.273224043715847
4O152018,남자,40대,기능원 및 관련 기능 종사자,고졸(대학 재학 포함),강원도,1인 가구,미혼(사별/이혼 포함),맞벌이 하지 않음,300-400만원 미만,0.1385972280554389,0.1699639411363415,0.09136218454950687,0.1533471359558316,0.09857162107532678,0.16734182098765432,0.27055844328935097
3J237040,여자,60대 이상,주부,중졸 이하,경상남도,1세대가족,기혼,맞벌이 하지 않음,200-300만원 미만,0.16064678706425872,0.15700224149693012,0.07093468112737356,0.136783988957902,0.08186228271122489,0.1398533950617284,0.21857923497267762
1A000655,여자,30대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,400-500만원 미만,0.11780764384712307,0.1787350160803041,0.08651854971745464,0.1533471359558316,0.08327718636302385,0.1603973765432099,0.21991203518592564
