상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원 참치다시 1kg,분말/액상조미료,조미료,조미료,15980,5.0,1,1000,1,1000,159.8,3747422,https://www.dongwonmall.com/product/detail.do?productId=003747422,동원 참치다시,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
동원 하루미 불닭로제맛 떡볶이양념 130g,기타양념,양념,조미료,1980,5.0,1,130,1,130,152.31,3766708,https://www.dongwonmall.com/product/detail.do?productId=003766708,동원 하루미 불닭로제맛 떡볶이양념,소스/조미료,,확인필요,,,,,False,False,True
[4%적립금] 동원 양반 나주식 곰탕 460g x 20개입 x 5박스,국/탕/찌개,즉석조리식품,간편식사,139000,5.0,1,460,100,46000,30.22,3686999,https://www.dongwonmall.com/product/detail.do?productId=003686999,동원 양반 나주식 곰탕 박스,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
[4%적립금] 동원 양반 밤단팥죽 285g x 24개입 x 3박스,죽/스프,즉석조리식품,간편식사,102300,5.0,1,285,72,20520,49.85,3686460,https://www.dongwonmall.com/product/detail.do?productId=003686460,동원 양반 밤단팥죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,False,False,True
동원 리챔 프로틴 200g x 3캔,햄/닭가슴살,가공육,반찬/주재료,8900,5.0,1,200,3,600,148.33,3577856,https://www.dongwonmall.com/product/detail.do?productId=003577856,동원 리챔 프로틴,햄/통조림,블록형,확인필요,조리 필요,반찬,캔,,False,False,True
[4%적립금] 동원 양반 호박죽 420g x 20개입 x 3박스,죽/스프,즉석조리식품,간편식사,123800,5.0,1,420,60,25200,49.13,3686508,https://www.dongwonmall.com/product/detail.do?productId=003686508,동원 양반 호박죽 박스,죽류,레토르트죽,확인필요,전자레인지,식사대용,파우치,,False,False,True
★시식코너특가★동원홈푸드 비비드키친 저칼로리 데리야끼소스 285g x 2개,기타양념,양념,조미료,6900,5.0,1,285,2,570,121.05,3698282,https://www.dongwonmall.com/product/detail.do?productId=003698282,동원홈푸드 비비드키친 저칼로리 데리야끼소스,소스/조미료,,확인필요,,,,,False,False,True
양반 캔볶음김치 160g x 4개,반찬/기타통조림,반찬,반찬,7700,5.0,1,160,4,640,120.31,3655482,https://www.dongwonmall.com/product/detail.do?productId=003655482,양반 캔볶음김치,,,확인필요,,,캔,,False,False,True
[동원] 동원 쯔유 500g,간장/고추장/된장/쌈장,장류,조미료,5980,5.0,1,500,1,500,119.6,3823695,https://www.dongwonmall.com/product/detail.do?productId=003823695,동원 쯔유,,,확인필요,,,,,False,False,True
[동원] 미니 파인애플 234g x 5,과일/옥수수/팥,통조림,간식/요리재료,12000,5.0,1,234,5,1170,102.56,1400638,https://www.dongwonmall.com/product/detail.do?productId=001400638,미니 파인애플 5,,,확인필요,,,,,False,False,True
